uid,dt-created,dt-modified,event-dt-begin,event-dt-end,event-location,title,link
"20140616065950","2014-06-16 06:59:50 GMT","2014-06-16 07:02:19 GMT","2014-10-15","2015-01-12","Centre Pompidou, Paris","Robert Delaunay – Rythmes sans fin","http://www.centrepompidou.fr/cpv/agenda/expositions?agenda.dateCal=01-12-2014"
"20140616070430","2014-06-16 07:04:30 GMT","","2014-11-26","2015-04-27","Centre Pompidou, Paris","Jeff Koons","http://www.centrepompidou.fr/cpv/agenda/expositions?agenda.dateCal=01-12-2014"
"20140616070703","2014-06-16 07:07:03 GMT","2014-10-01 07:08:17 GMT","2014-10-08","2015-01-26","Centre Pompidou, Paris","Frank Gehry","http://www.centrepompidou.fr/cpv/agenda/expositions?agenda.dateCal=01-12-2014"
"20140620071030","2014-06-20 07:10:30 GMT","","2014-12-04","2015-03-01","Ashmolean Museum, Oxford","William Blake: Apprentice and Master","http://www.ashmolean.org/exhibitions/williamblake/"
"20140624064606","2014-06-24 06:46:06 GMT","2014-06-24 06:49:01 GMT","2014-09-17","2015-01-05","Musée de l'Orangerie, Paris","Emile Bernard","http://www.musee-orangerie.fr/pages/page_id20004_u1l2.htm"
"20140630061044","2014-06-30 06:10:44 GMT","","2015-03-17","2015-07-19","Musée d'Orsay, Paris","Pierre Bonnard. Peindre l'Arcadie","http://www.musee-orsay.fr/fr/evenements/expositions/au-musee-dorsay/presentation-generale/article/pierre-bonnard-41180.html?tx_ttnews%5BbackPid%5D=254&cHash=3bf97287be"
"20140701070851","2014-07-01 07:08:51 GMT","","2015-06-13","2015-09-27","K20 Kunstsammlung NRW, Düsseldorf","Miró – A Painter among Poets","http://www.kunstsammlung.de/en/discover/exhibition-preview.html"
"20140701071135","2014-07-01 07:11:35 GMT","2014-09-17 07:24:49 GMT","2014-09-06","2015-01-04","K20 Kunstsammlung NRW, Düsseldorf","To Egypt! The Travels of Max Slevogt and Paul Klee","http://www.kunstsammlung.de/en/discover/exhibitions/nach-aegypten.html"
"20140916132509","2014-09-16 13:25:09 GMT","2014-09-16 13:30:17 GMT","2014-09-13","2015-01-11","Singer, Laren","Dufy","http://www.singerlaren.nl/nl/alle-seizoenen/dufy"
"20140916133047","2014-09-16 13:30:47 GMT","","2015-01-25","2015-05-25","Singer, Laren","Leo Gestel","http://www.singerlaren.nl/alle-seizoenen/leo-gestel"
"20140916171054","2014-09-16 17:10:54 GMT","2015-01-13 07:51:49 GMT","2014-09-23","2015-05-10","Guggenheim Museum, Bilbao","The art of our time. Masterpieces from the Guggenheim Collections","http://www.guggenheim-bilbao.es/en/exhibitions/the-art-of-our-time-masterpieces-from-the-guggenheim-collections/"
"20140922185816","2014-09-22 18:58:16 GMT","","2015-02-05","2015-05-10","Tate Modern, London","Marlene Dumas: The Image as Burden","http://www.tate.org.uk/whats-on/tate-modern/exhibition/marlene-dumas-image-burden"
"20140922190327","2014-09-22 19:03:27 GMT","","2014-10-09","2015-02-08","Tate Modern, London","Alibis: Sigmar Polke 1963–2010","http://www.tate.org.uk/whats-on/tate-modern/exhibition/alibis-sigmar-polke-1963-2010"
"20140922191654","2014-09-22 19:16:54 GMT","","2014-10-08","2015-01-11","Städel Museum, Frankfurt","Raphael to Titian","http://www.staedelmuseum.de/en/exhibitions/raphael-titian"
"20140923064748","2014-09-23 06:47:48 GMT","2015-02-19 20:34:46 GMT","2015-02-17","2015-05-17","Museo Thyssen-Bornemisza, Madrid","Raoul Dufy","http://www.museothyssen.org/en/thyssen/exposiciones_actuales/120"
"20140923065014","2014-09-23 06:50:14 GMT","","2015-06-09","2015-09-13","Museo Thyssen-Bornemisza, Madrid","Zurbarán. A New Perspective","http://www.museothyssen.org/en/thyssen/exposiciones_proximas/121"
"20140923065205","2014-09-23 06:52:05 GMT","2015-10-06 08:21:44 GMT","2015-10-06","2016-01-17","Museo Thyssen-Bornemisza, Madrid","Edvard Munch: Archetypes","http://www.museothyssen.org/en/thyssen/exposiciones_actuales/119"
